descricao,Categoria,contagem
'PAPEL GLOSSY FOTOGRAFICO A4 210MMX297MM APROVA D''AGUA CONTEM 20 FOLHA 230GRAMAS',Embalagem,1
'PAPEL GLOSSY FOTOGRAFICO A4 210MMX297MM APROVA D''AGUA CONTEM 20 FOLHA 230GRAMAS',Papelaria,1
48114110 - PAPEL E CARTAO OBRAS DE PASTA DE CELULOSE DE PAPEL OU DE CARTAO 48119090 - OUTS.PAP.CART.PASTAMANTAS.FIB.DE CELULOSE,Embalagem,1
48114110 - PAPEL E CARTAO OBRAS DE PASTA DE CELULOSE DE PAPEL OU DE CARTAO 48119090 - OUTS.PAP.CART.PASTAMANTAS.FIB.DE CELULOSE,Papelaria,1
BOBINA 1VIA PAPEL GRAMATURA 167G/M2 MEDIDAS 58MM X 240M,Embalagem,1
BOBINA 1VIA PAPEL GRAMATURA 167G/M2 MEDIDAS 58MM X 240M,Papelaria,1
BOBINA DE PAPEL C/ 360 M P/ COLETOR BOBINA DE PAPEL COM 360 METROS PARA COLETOR TELEMÁTICA CÓDIN REP 2000,Embalagem,1
BOBINA DE PAPEL C/ 360 M P/ COLETOR BOBINA DE PAPEL COM 360 METROS PARA COLETOR TELEMÁTICA CÓDIN REP 2000,Papelaria,1
BOBINA DE PAPEL P/ CALCULADORA 57MMX30M (DATAPEL/CARIOCA),Embalagem,1
BOBINA DE PAPEL P/ CALCULADORA 57MMX30M (DATAPEL/CARIOCA),Papelaria,1
BOBINA DE PAPEL P/ CARTAO PONTO (RL C/ 150MT) CX C/ 9 ROLOS,Embalagem,1
BOBINA DE PAPEL P/ CARTAO PONTO (RL C/ 150MT) CX C/ 9 ROLOS,Papelaria,1
BOBINA DE PAPEL P/ CARTAO PONTO 50X57 MD0706,Embalagem,1
BOBINA DE PAPEL P/ CARTAO PONTO 50X57 MD0706,Papelaria,1
BOBINA DE PAPEL P/ COLETOR TELEMATICA BOBINA DE PAPEL PARA COLETOR TELEMÁTICA CODIN REP 200 0 C/ 300 METROS,Embalagem,1
BOBINA DE PAPEL P/ COLETOR TELEMATICA BOBINA DE PAPEL PARA COLETOR TELEMÁTICA CODIN REP 200 0 C/ 300 METROS,Papelaria,1
BOBINA DE PAPEL P/ RELOGIO PONTO CODIN R BOBINA DE PAPEL PARA RELOGIO PONTO CODIN REP 2000 150MTS,Embalagem,1
BOBINA DE PAPEL P/ RELOGIO PONTO CODIN R BOBINA DE PAPEL PARA RELOGIO PONTO CODIN REP 2000 150MTS,Papelaria,1
BOBINA DE PAPEL PARA RELOGIO PONTO 57X360 M |,Embalagem,1
BOBINA DE PAPEL PARA RELOGIO PONTO 57X360 M |,Papelaria,1
BOBINA DE PAPEL TERMICO,Embalagem,1
BOBINA DE PAPEL TERMICO,Papelaria,1
BOBINA DE PAPEL TERMICO 57MM X 22M 1 VIA PARA IMPRESSORA TERMICA PORTATIL,Embalagem,1
BOBINA DE PAPEL TERMICO 57MM X 22M 1 VIA PARA IMPRESSORA TERMICA PORTATIL,Papelaria,1
BOBINA DE PAPEL TERMICO 80MM X 40M 1 VIA PARA IMPRESSORA TERMICA,Embalagem,1
BOBINA DE PAPEL TERMICO 80MM X 40M 1 VIA PARA IMPRESSORA TERMICA,Papelaria,1
BOBINA DE PAPEL TERMICO C/ 360 METROS P/ CODIN REP CAIXA C/ 4 UN,Embalagem,1
BOBINA DE PAPEL TERMICO C/ 360 METROS P/ CODIN REP CAIXA C/ 4 UN,Papelaria,1
BOBINA DE PAPEL VCI PLASTIFICADO 86G (BOBINA 30KG) BOBINA DE PAPEL VCI PLASTIFICADO,Embalagem,2
BOBINA DE PAPEL VCI PLASTIFICADO 86G (BOBINA 30KG) BOBINA DE PAPEL VCI PLASTIFICADO,Papelaria,2
BOBINA PAPEL ONDULADA 1200,Embalagem,2
BOBINA PAPEL ONDULADA 1200,Papelaria,2
