frase_quantidade
"LUVA, Quantidade: 9"
"CANETA BIC CRISTAL AZUL, Quantidade: 4"
"FITA P/ JUNTA PAPEL MICROPERFURADO 50X150M, Quantidade: 4"
"LUVA GALVANIZADA 3, Quantidade: 4"
"PAPELAO VELOMOIDE VONDER 04MM, Quantidade: 4"
"USO ME PAPEL P/ PLOTTER 610X50 GR 75, Quantidade: 4"
"USO ML LUVA LATEX PAR TAM.G, Quantidade: 4"
"LUVA DE ACO, Quantidade: 4"
"CAIXA PAPELAO MALETA COM ABAS TRANSPASSADAS PAPELAO ONDA DUPLA PARDO KRAFT ESTAMPADA COR AZUL USADA PARA EMBALAR A MAQUINA DE CORTAR VERGALHAO N. 0 CODIGO 10013000 DIMENSOES INTERNAS: 200X150X240mm, Quantidade: 4"
"FITA ADESIVA PAPEL CREPE TARTAN 2563 - 45 X 50 - COR MARROM 3M, Quantidade: 4"
"PAPEL PROOFTECH SATIN 255 PLUS (430X30M), Quantidade: 4"
"BOBINA PAPEL ONDULADA 1200, Quantidade: 4"
"CANETA BIC CRISTAL PRETA, Quantidade: 4"
"PAPEL KRAFT COM IVC EM BOBINAS - FORNECEDOR: DECORPRINT * * * Manter em estoque mÝnimo 50 kg * * * Material utilizado para confeccao das panelas de concreto - fusao PAPEL KRAFT COM IVC EM BOBINAS, Quantidade: 4"
"BOBINA DE PAPEL VCI PLASTIFICADO 86G (BOBINA 30KG) BOBINA DE PAPEL VCI PLASTIFICADO, Quantidade: 4"
"LUVA GALVANIZADA 3/4, Quantidade: 4"
"MELITTA FILTRO PAPEL 103, Quantidade: 4"
"CANETA BIC CRISTAL VERMELHA, Quantidade: 4"
"CANETA MARCA TEXTO, Quantidade: 4"
"PAPEL A4, Quantidade: 4"
"PAPELAO ONDULADO ESPECIAL 120X50M, Quantidade: 3"
"LUVA DE REDUCAO 3 X 2 GALVANIZADA, Quantidade: 3"
"JUNTAS DE CARTAO/PAPELAO DE ALTA TEMPERATURA PARA VEDACAO DE OLEO NO MOTOR DE INGNICAO POR CENTELHA (COMBUSTAO) DA ROCADEIRA DE GRAMA CURVO MANUAL A GASOLINA FABRICANTE YAT. KIT JUNTAS PARA USO NO MOTOR DA ROCADEIRA DE GRAMA CURVO - 25CC (750W)COMPOSTO POR: 02 PCS - JUNTAS DO CARTER - COD. 9202-923106-0100010 01 PC - JUNTA DO CILINDRO - COD. 9202-923005-0300020 01 PC - JUNTA DO SILENCIOSO - COD. 8202-923102-0000010 01 PC - JUNTA ISOLACAO DE CALOR - COD. 9202-923004-0200020 01 PC - JUNTA DO CARBURADOR - COD. 8202-903201-0000010 WASHER SET WITH: 02 PCS - WASHER - COD. 9202-923106-0100010 01 PC - WASHER - COD. 9202-923005-0300020 01 PC - WASHER - COD. 8202-923102-0000010 01 PC - HEAT INSULATION WASHER - COD. 9202-923004-0200020 01 PC - WASHER - COD. 8202-903201-0000010 APLICACAO: FERRAMENTA DE JARDINAGEM - ROCADEIRA DE GRAMA CURVO - 25CC (750W) - 918.0203-0 FABRICANTE: YAT, Quantidade: 3"
