descricao,Categoria,contagem_galv,contagem_diam,contagem_equip,contagem_sequencia,contagem_20cm,contagem_tam
caneta bic cristal azul,3,0,0,0,0,0,0
caneta bic cristal azul filial,3,0,0,0,0,0,0
caneta bic cristal preta,3,0,0,0,0,0,0
caneta bic cristal preta filial,3,0,0,0,0,0,0
caneta bic cristal vermelha,3,0,0,0,0,0,0
caneta bic cristal vermelha filial,3,0,0,0,0,0,0
caneta bps pilot,3,0,0,0,0,0,0
caneta marcador permanente acrilex ponta dupla vermelha,3,0,0,0,0,0,0
caneta retocar madeira branco corcel,3,0,0,0,0,0,0
caneta retroprojetor manter fazer castelo ponta dia preta filial,3,0,0,0,0,0,0
caneta personalizada base,3,0,0,0,0,0,0
caneta personalizada,3,0,0,0,0,0,0
caneta personalizada ver,3,0,0,0,0,0,0
caneta bic cristal verde,3,0,0,0,0,0,0
nao repor caneta fine black cod estojo,3,0,0,0,0,0,0
nao repor caneta passo classe collectiom cromo,3,0,0,0,0,0,0
bic caneta cristal azul,3,0,0,0,0,0,0
bic caneta cristal fina,3,0,0,0,0,0,0
caneta bic,3,0,0,0,0,0,0
caneta bic cristal,3,0,0,0,0,0,0
caneta cristal azul,3,0,0,0,0,0,0
caneta polaridade,3,0,0,0,0,0,0
caneta ecologica papelao clip colorido,3,0,0,0,0,0,0
caneta esferografica bic cristal azul,3,0,0,0,0,0,0
caneta esferografica bic cristal vermelha,3,0,0,0,0,0,0
caneta esferografica bic cristal core sortudas,3,0,0,0,0,0,0
caneta fixa solufix pratica base cremada,3,0,0,0,0,0,0
caneta marca texto,3,0,0,0,0,0,0
caneta marca texto amarela,3,0,0,0,0,0,0
caneta marca texto brw fluorescente verde,3,0,0,0,0,0,0
caneta marca texto verde,3,0,0,0,0,0,0
caneta vidro,3,0,0,0,0,0,0
caneta plastica personalizada,3,0,0,0,0,0,0
caneta plastica touch suporte,3,0,0,0,0,0,0
igo caneta touch,3,0,0,0,0,0,0
kit caneta abridor lanterna,3,0,0,0,0,0,0
mkt brindes caneta,3,0,0,0,0,0,0
mkt caneta base touch,3,0,0,0,0,0,0
mkt caneta base mim mosca,3,0,0,0,0,0,0
mkt caneta mano filme,3,0,0,0,0,0,0
mkt caneta plastica hell,3,0,0,0,0,0,0
mkt caneta plastica touch suporte,3,0,0,0,0,0,0
mkt caneta rifle,3,0,0,0,0,0,0
uso caneta bic cristal azul,3,0,0,0,0,0,0
uso caneta bic cristal preta,3,0,0,0,0,0,0
uso caneta bic cristal vermelha,3,0,0,0,0,0,0
uso caneta fixador balcao,3,0,0,0,0,0,0
uso caneta marca texto amar,3,0,0,0,0,0,0
uso caneta marca texto amarela,3,0,0,0,0,0,0
uso caneta marca texto verde,3,0,0,0,0,0,0
uso caneta ret pro preta desta,3,0,0,0,0,0,0
uso caneta ret pro ver desta,3,0,0,0,0,0,0
uso caneta retro protetor,3,0,0,0,0,0,0
uso caneta retro protetor pilot,3,0,0,0,0,0,0
uso caneta retro protetor preta,3,0,0,0,0,0,0
uso caneta retro protetor ver pontas,3,0,0,0,0,0,0
uso caneta wbm pilot,3,0,0,0,0,0,0
uso rec uso caneta medium castelo pto,3,0,0,0,0,0,0
uso rec uso caneta medium castelo vmo,3,0,0,0,0,0,0
caneta basica,3,0,0,0,0,0,0
caneta bic sim clip azul,3,0,0,0,0,0,0
caneta chow elegante,3,0,0,0,0,0,0
caneta chow embaixador,3,0,0,0,0,0,0
caneta chow fique,3,0,0,0,0,0,0
caneta eco,3,0,0,0,0,0,0
caneta este bic,3,0,0,0,0,0,0
caneta este compacto azul,3,0,0,0,0,0,0
caneta esf pilot bps azul ponta metal,3,0,0,0,0,0,0
caneta especial,3,0,0,0,0,0,0
caneta gripe gel,3,0,0,0,0,0,0
caneta marca texto light verde,3,0,0,0,0,0,0
caneta marca texto desta rosa,3,0,0,0,0,0,0
caneta marca texto light amarelo,3,0,0,0,0,0,0
caneta marca texto light rosa,3,0,0,0,0,0,0
caneta permanente vidro preta,3,0,0,0,0,0,0
caneta retroprojetor azul,3,0,0,0,0,0,0
caneta retroprojetor preto,3,0,0,0,0,0,0
kit canetas teste superficial dona coroa,3,0,0,0,0,0,0
caneta bps gripe cor azul piloto caneta pilot bps gripe cor azul,3,0,0,0,0,0,0
caneta esferografica cor azul caneta esferografica cor azul marca bic,3,0,0,0,0,0,0
caneta esferografica cor preta caneta esferografica cor preta marca bic,3,0,0,0,0,0,0
caneta esferografica cor vermelha caneta esferografica cor vermelha marca bic,3,0,0,0,0,0,0
caneta esferografica escrita fina caneta escrita fina,3,0,0,0,0,0,0
caneta indelevel marcador caneta indelevel marcador fazer castelo,3,0,0,0,0,0,0
caneta lumicolor marca texto amarelo caneta lumicolor marca texto amarelo,3,0,0,0,0,0,0
caneta lumicolor marca texto azul caneta lumicolor marca texto azul,3,0,0,0,0,0,0
caneta lumicolor marca texto laranja caneta lumicolor marca texto laranja,3,0,0,0,0,0,0
caneta lumicolor marca texto rosa caneta lumicolor marca texto rosa,3,0,0,0,0,0,0
caneta lumicolor marca texto verde caneta lumicolor marca texto verde,3,0,0,0,0,0,0
caneta pneu last caneta pneu branca ponta grossa corpo plastico unidade,3,0,0,0,0,0,0
caneta quadro branco cor azul caneta quadro branco cor azul,3,0,0,0,0,0,0
caneta quadro branco cor preta caneta quadro branco cor preta,3,0,0,0,0,0,0
caneta quadro branco cor verde caneta quadro branco cor verde,3,0,0,0,0,0,0
caneta quadro branco cor vermelha caneta quadro branco cor vermelha,3,0,0,0,0,0,0
caneta retroprojetor marcador transparencia caneta retroprojetor marcador transparencia,3,0,0,0,0,0,0
caneta teste polaridade superaste scan caneta teste polaridade superaste scan,3,0,0,0,0,0,0
caneta,3,0,0,0,0,0,0
caneta esfera cristal fina azul bic,3,0,0,0,0,0,0
caneta esfera cristal fina preta bic,3,0,0,0,0,0,0
caneta esfera cristal fina vermelha bic,3,0,0,0,0,0,0
caneta esfera medium azul fazer caneta esferografica medium azul fazer castelo,3,0,0,0,0,0,0
caneta esfera medium preta fazer caneta esferografica medium preta fazer castelo,3,0,0,0,0,0,0
caneta esferografica bps gripe esta,3,0,0,0,0,0,0
caneta esferografica bps gripe preto,3,0,0,0,0,0,0
caneta esferografica cristal azul bic,3,0,0,0,0,0,0
caneta esferografica cristal bic,3,0,0,0,0,0,0
caneta esferografica cristal ponta fina vermelha azul preta,3,0,0,0,0,0,0
caneta esferografica cristal preta bic,3,0,0,0,0,0,0
caneta esferografica cristal verde bic ref aluna,3,0,0,0,0,0,0
caneta esferografica cristal vermelha,3,0,0,0,0,0,0
caneta esferografica ponta dia grampear mesa metal papel,3,0,0,0,0,0,0
caneta esferografica ponta dia prender papel tipo grampomol gene,3,0,0,0,0,0,0
caneta esfera retrato sim metal caneta esferografica retrato sim metal bic,3,0,0,0,0,0,0
caneta esf retrair laknock azul grampear cama premium sortudos eram ser,3,0,0,0,0,0,0
caneta hidro point sabido verme caneta hidrogrfica point sabido vermelha codigo aluna,3,0,0,0,0,0,0
caneta hidrogrfica core calor,3,0,0,0,0,0,0
caneta hidrogrfica calor junior azu pilot,3,0,0,0,0,0,0
caneta hidrogrfica calor junior pre pilot,3,0,0,0,0,0,0
caneta hidrogrfica fine pen azul fpa,3,0,0,0,0,0,0
caneta hidrogrfica fine pen preta,3,0,0,0,0,0,0
caneta hidrografica ponta medium prt,3,0,0,0,0,0,0
caneta ind amarelo ken grite,3,0,0,0,0,0,0
caneta ind branco ken grite,3,0,0,0,0,0,0
caneta dvd blu ray azul pilot,3,0,0,0,0,0,0
caneta retro projetor azul,3,0,0,0,0,0,0
caneta retro projetor preta,3,0,0,0,0,0,0
caneta retro projetor preta pilot,3,0,0,0,0,0,0
caneta retro projetor preta caixa,3,0,0,0,0,0,0
caneta retro projetor verde,3,0,0,0,0,0,0
caneta retro projetor vermelha,3,0,0,0,0,0,0
caneta uniposca,3,0,0,0,0,0,0
obc caneta azul,3,0,0,0,0,0,0
obc caneta preta,3,0,0,0,0,0,0
caneta esferografica cristal vermelho bic marca modelo cor tamanho,3,0,0,0,0,0,0
caneta marca texto lume calor pilot,3,0,0,0,0,0,0
caneta azul ponta fina bic,3,0,0,0,0,0,0
caneta bic azul ponta grossa,3,0,0,0,0,0,0
caneta bic cor preta,3,0,0,0,0,0,0
caneta bic cor vermelha,3,0,0,0,0,0,0
caneta compacto cor azul,3,0,0,0,0,0,0
caneta compacto cor preta,3,0,0,0,0,0,0
caneta compacto cor vermelha,3,0,0,0,0,0,0
caneta metal corrente,3,0,0,0,0,0,0
caneta metal fixa base fixa,3,0,0,0,0,0,0
caneta detectavel nao retrato azul clipe bolso ref pro cod,3,0,0,0,0,0,0
caneta detectavel nao retrato azul ref pro cod,3,0,0,0,0,0,0
caneta detectavel retrato azul clipe bolso codificada ref pro cod,3,0,0,0,0,0,0
caneta esferografica core,3,0,0,0,0,0,0
caneta esferografica agiste aluminio compacto,3,0,0,0,0,0,0
caneta esferografica young cor prata,3,0,0,0,0,1,0
caneta hidrografica core,3,0,0,0,0,0,0
caneta hidrografica cor preta tecpoint pilot,3,0,0,0,0,0,0
caneta hidrografica point azul sabido,3,0,0,0,0,0,0
caneta marcador grite mark clister preta ponta poros medium,3,0,0,0,0,0,0
caneta marca texto amarela pilot,3,0,0,0,0,0,0
caneta marca texto azul,3,0,0,0,0,0,0
caneta marca texto laranja pilot,3,0,0,0,0,0,0
caneta marca texto verde pilot,3,0,0,0,0,0,0
caneta pilot hidrografica tecpoint azul,3,0,0,0,0,0,0
caneta ponta poros preta fazer castelo,3,0,0,0,0,0,0
caneta possa uni ball,3,0,0,0,0,0,0
carga caneta detectavel retrato cod,3,0,0,0,0,0,0
refiz azul caneta compacto esferografica aluminio,3,0,0,0,0,0,0
caneta esferografica cor azul ref fazer castelo bic compacto,3,0,0,0,0,0,0
caneta esferografica cor preta ref fazer castelo bic compacto,3,0,0,0,0,0,0
caneta esferografica cor vermelho ref fazer castelo bic compacto,3,0,0,0,0,0,0
caneta marcador permanente dvd ref pilot,3,0,0,0,0,0,0
caneta marcador retro projetor cor azul ref pilot,3,0,0,0,0,0,0
caneta esferografica azul marca bic produto servico mexe caneta esferografica azul marca bic utilizar padre geral status cadastro estoque,3,0,0,0,0,0,0
