cliente,descricao,ncm,ite_unidade,cat1,cat2,cat3,Nova cat 1,Nova cat 2,Nova cat 3,,
base1,LUVA PARA TERMINAL GRANDE - 001821 FROTA - ,40092210,UN,MANUTENÇÃO HIDRAULICA,Linhas Hidráulicas,Tubos e Mangueiras,Material,Construção/Manutenção,Hidráulico,,
base1,BOTAO DKV - 000537 FROTA - ,40092210,UN,MANUTENÇÃO HIDRAULICA,Linhas Hidráulicas,Tubos e Mangueiras,Material,Construção/Manutenção,Hidráulico,,
base1,KIT LUVA E CARDAN 45MM - CARRO EXTRATOR BP1 - FORNECEDOR: SÃO RAFAEL - REVESTIMENTO/ BP01 - ,84136011,UN,MANUTENÇÃO HIDRAULICA,Linhas Hidráulicas,Kits de Reparos e Outros Kits,Material,Construção/Manutenção,Hidráulico,,ÁRVORE DE DECISÃO
base1,LUVA REDUCAO HIDRAULICA BM 3/4X3/8 - COZINHA DE COLA IMAL/ MDF1 - - ,73071920,UN,MANUTENÇÃO HIDRAULICA,Linhas Hidráulicas,Conexões,Material,Construção/Manutenção,Hidráulico,,"EX.: SE TEM ""CANO"" É HIDRÁULICO, SE TEM PAPELÃO É EMBALAGEM"
base1,"ADAPTADOR FEMEA DE ACO 1/4"" NPT (LUVA) FFA 1/4NPT X 1/4 NPT SISTEMA HIDRÁULICO BP3 - ",73079200,UN,MANUTENÇÃO HIDRAULICA,Linhas Hidráulicas,Conexões,Material,Construção/Manutenção,Hidráulico,,
base2,LUVA PVC,,UN,MATERIAIS,MATERIAL DE CONSUMO,MATERIAL HIDRAULICO,Material,Construção/Manutenção,Hidráulico,,
base2,LUVA DE 25MM SOLDAVEL,,UN,MATERIAIS,MATERIAL DE CONSUMO,MATERIAL HIDRAULICO,Material,Construção/Manutenção,Hidráulico,,OUTRA OPÇÃO
base3,LUVA CORRER ESGOTO 100MM,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,FREQUÊNCIA DE PALAVRAS
base3,LUVA SIMPLES ESGOTO 100MM,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,https://www.organicadigital.com/blog/algoritmo-de-classificacao-naive-bayes/
base5,"LUVA AZUL BUCHA LAT 32X1""",,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA 50 SOLDAVEL,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA 40 SOLDAVEL,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA 25 SOLDAVEL,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA PARA AGUA QUENTE 28MM,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA ESGOTO SIMPLES 100MM,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA 25MM,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA 50 ESGOTO,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA 60 CORRER,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA SIMPLES ESGOTO 50MM,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA 50 CORRER,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA SIMPLES ESGOTO 75MM,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base5,LUVA DE ESGOTO,,UN,MATERIAIS,MANUTENÇAO,MATERIAIS HIDRAULICOS,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA UNIAO DUPLA P/ TUBO 8 MM,39174090,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA UNIAO DUPLA P/ TUBO EASY 6mm,39174090,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,BOTAO SINALIZADOR 220V VERMELHO XB7-EV 04MP,,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,PORCA FLANGE C/ ANILHA LUVA F04 1/4 261-P,74122000,UN,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA UNIAO DUPLA P/ TUBO 12 MM,39174090,UN,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA P/ DISTRIB. DJ/DLS 6MM,74122000,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA P/ DISTRIB. DJ/DLS 4MM,74122000,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA UNIAO 3/8,39174090,UN,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA EM LATAO 1/2 2103004 1/2,74122000,UN,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,VALVULA BOTAO/MOLA 5/2 VIAS VB3 0444 02 1/8,84818099,PC,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA 1/2 2103004 - FORNO 02,,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,LUVA REF; 2158455601,84799090,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,BOTAO SINALIZADOR 220V VERMELHO XB7-EV 04MP,,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,VALVULA BOTAO/MOLA 5/2 VIAS VB3 0444 02 1/8,84818099,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
base6,"LUVA (ANILHA) DE LATAO 60F06 3/8""",84123190,PC,MATERIAIS,MATERIAL DE MANUTENÇÃO,PNEUMATICA E HIDRAULICA,Material,Construção/Manutenção,Hidráulico,,
